"YEAR","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2015,"speed_fines","Fixed or mobile camera",24928,0,0
2015,"speed_fines","Fixed or mobile camera",50640,0,0
2015,"speed_fines","Fixed or mobile camera",85282,0,0
2015,"speed_fines","Fixed or mobile camera",486571,0,0
2015,"speed_fines","Fixed or mobile camera",752276,0,0
2015,"speed_fines","Fixed or mobile camera",1076622,0,0
2015,"speed_fines","Fixed or mobile camera",1306201,0,0
2016,"mobile_phone_use","Police issued",535,0,0
2016,"mobile_phone_use","Police issued",1120,0,0
2016,"mobile_phone_use","Police issued",3191,0,0
2016,"mobile_phone_use","Police issued",11153,0,0
2016,"mobile_phone_use","Police issued",14926,0,0
2016,"mobile_phone_use","Police issued",17213,0,0
2016,"mobile_phone_use","Police issued",27925,0,0
2016,"mobile_phone_use","Police issued",38918,0,0
2016,"speed_fines","Fixed or mobile camera",15977,0,0
2016,"speed_fines","Fixed or mobile camera",22239,0,0
2016,"speed_fines","Fixed or mobile camera",55750,0,0
2016,"speed_fines","Fixed or mobile camera",182856,0,0
2016,"speed_fines","Fixed or mobile camera",494676,0,0
2016,"speed_fines","Fixed or mobile camera",567954,0,0
2016,"speed_fines","Fixed or mobile camera",659305,0,0
2016,"speed_fines","Fixed or mobile camera",1266642,0,0
2017,"mobile_phone_use","Police issued",546,0,0
2017,"mobile_phone_use","Police issued",1299,0,0
2017,"mobile_phone_use","Police issued",2738,0,0
2017,"mobile_phone_use","Police issued",11252,0,0
2017,"mobile_phone_use","Police issued",15043,0,0
2017,"mobile_phone_use","Police issued",16718,0,0
2017,"mobile_phone_use","Police issued",29293,0,0
2017,"mobile_phone_use","Police issued",41020,0,0
2017,"non_wearing_seatbelts","Fixed or mobile camera",28,0,0
2017,"non_wearing_seatbelts","Police issued",7309,0,0
2017,"non_wearing_seatbelts","Police issued",22926,0,0
2017,"speed_fines","Fixed or mobile camera",13095,0,0
2017,"speed_fines","Fixed or mobile camera",22556,0,0
2017,"speed_fines","Fixed or mobile camera",52913,0,0
2017,"speed_fines","Fixed or mobile camera",162804,0,0
2017,"speed_fines","Fixed or mobile camera",478004,0,0
2017,"speed_fines","Fixed or mobile camera",646380,0,0
2017,"speed_fines","Fixed or mobile camera",733717,0,0
2017,"speed_fines","Fixed or mobile camera",1220180,0,0
2017,"speed_fines","Police issued",107803,0,0
2017,"speed_fines","Police issued",253949,0,0
2018,"mobile_phone_use","Police issued",861,0,0
2018,"mobile_phone_use","Police issued",1399,0,0
2018,"mobile_phone_use","Police issued",2614,0,0
2018,"mobile_phone_use","Police issued",8471,0,0
2018,"mobile_phone_use","Police issued",12828,0,0
2018,"mobile_phone_use","Police issued",17697,0,0
2018,"mobile_phone_use","Police issued",32458,0,0
2018,"mobile_phone_use","Police issued",37653,0,0
2018,"non_wearing_seatbelts","Fixed or mobile camera",15,0,0
2018,"non_wearing_seatbelts","Police issued",197,0,0
2018,"non_wearing_seatbelts","Police issued",2558,0,0
2018,"non_wearing_seatbelts","Police issued",4909,0,0
2018,"non_wearing_seatbelts","Police issued",5953,0,0
2018,"non_wearing_seatbelts","Police issued",8789,0,0
2018,"non_wearing_seatbelts","Police issued",13595,0,0
2018,"non_wearing_seatbelts","Police issued",21538,0,0
2018,"speed_fines","Fixed or mobile camera",8609,0,0
2018,"speed_fines","Fixed or mobile camera",27639,0,0
2018,"speed_fines","Fixed or mobile camera",66449,0,0
2018,"speed_fines","Fixed or mobile camera",174731,0,0
2018,"speed_fines","Fixed or mobile camera",444372,0,0
2018,"speed_fines","Fixed or mobile camera",573664,0,0
2018,"speed_fines","Fixed or mobile camera",859691,0,0
2018,"speed_fines","Fixed or mobile camera",1600565,0,0
2018,"speed_fines","Police issued",9813,0,0
2018,"speed_fines","Police issued",115534,0,0
2018,"speed_fines","Police issued",161732,0,0
2018,"speed_fines","Police issued",237017,0,0
2019,"mobile_phone_use","Police issued",760,0,0
2019,"mobile_phone_use","Police issued",1098,0,0
2019,"mobile_phone_use","Police issued",2355,0,0
2019,"mobile_phone_use","Police issued",7567,0,0
2019,"mobile_phone_use","Police issued",11580,0,0
2019,"mobile_phone_use","Police issued",11850,0,0
2019,"mobile_phone_use","Police issued",25463,0,0
2019,"mobile_phone_use","Police issued",36694,0,0
2019,"non_wearing_seatbelts","Fixed or mobile camera",7,0,0
2019,"non_wearing_seatbelts","Police issued",174,0,0
2019,"non_wearing_seatbelts","Police issued",3521,0,0
2019,"non_wearing_seatbelts","Police issued",4386,0,0
2019,"non_wearing_seatbelts","Police issued",4469,0,0
2019,"non_wearing_seatbelts","Police issued",9009,0,0
2019,"non_wearing_seatbelts","Police issued",11835,0,0
2019,"non_wearing_seatbelts","Police issued",19348,0,0
2019,"speed_fines","Fixed or mobile camera",6738,0,0
2019,"speed_fines","Fixed or mobile camera",27208,0,0
2019,"speed_fines","Fixed or mobile camera",59330,0,0
2019,"speed_fines","Fixed or mobile camera",202914,0,0
2019,"speed_fines","Fixed or mobile camera",442556,0,0
2019,"speed_fines","Fixed or mobile camera",580734,0,0
2019,"speed_fines","Fixed or mobile camera",886731,0,0
2019,"speed_fines","Fixed or mobile camera",1004679,0,0
2019,"speed_fines","Police issued",12292,0,0
2019,"speed_fines","Police issued",102262,0,0
2019,"speed_fines","Police issued",155049,0,0
2019,"speed_fines","Police issued",216237,0,0
2020,"mobile_phone_use","Fixed or mobile camera",138847,0,0
2020,"mobile_phone_use","Police issued",380,0,0
2020,"mobile_phone_use","Police issued",812,0,0
2020,"mobile_phone_use","Police issued",1966,0,0
2020,"mobile_phone_use","Police issued",4823,0,0
2020,"mobile_phone_use","Police issued",6325,0,0
2020,"mobile_phone_use","Police issued",7889,0,0
2020,"mobile_phone_use","Police issued",12878,0,0
2020,"mobile_phone_use","Police issued",21231,0,0
2020,"non_wearing_seatbelts","Fixed or mobile camera",5,0,0
2020,"non_wearing_seatbelts","Police issued",143,0,0
2020,"non_wearing_seatbelts","Police issued",1332,0,0
2020,"non_wearing_seatbelts","Police issued",2111,0,0
2020,"non_wearing_seatbelts","Police issued",2804,0,0
2020,"non_wearing_seatbelts","Police issued",3935,0,0
2020,"non_wearing_seatbelts","Police issued",6108,0,0
2020,"non_wearing_seatbelts","Police issued",7757,0,0
2020,"non_wearing_seatbelts","Police issued",11715,0,0
2020,"speed_fines","Fixed or mobile camera",5430,0,0
2020,"speed_fines","Fixed or mobile camera",33009,0,0
2020,"speed_fines","Fixed or mobile camera",57612,0,0
2020,"speed_fines","Fixed or mobile camera",175237,0,0
2020,"speed_fines","Fixed or mobile camera",595363,0,0
2020,"speed_fines","Fixed or mobile camera",707453,0,0
2020,"speed_fines","Fixed or mobile camera",779069,0,0
2020,"speed_fines","Fixed or mobile camera",937192,0,0
2020,"speed_fines","Police issued",7912,0,0
2020,"speed_fines","Police issued",35321,0,0
2020,"speed_fines","Police issued",100223,0,0
2020,"speed_fines","Police issued",131789,0,0
2020,"speed_fines","Police issued",207863,0,0
2021,"mobile_phone_use","Fixed or mobile camera",14574,0,0
2021,"mobile_phone_use","Fixed or mobile camera",163722,0,0
2021,"mobile_phone_use","Police issued",309,0,0
2021,"mobile_phone_use","Police issued",544,0,0
2021,"mobile_phone_use","Police issued",2328,0,0
2021,"mobile_phone_use","Police issued",3973,0,0
2021,"mobile_phone_use","Police issued",4799,0,0
2021,"mobile_phone_use","Police issued",4909,0,0
2021,"mobile_phone_use","Police issued",10360,0,0
2021,"mobile_phone_use","Police issued",15562,0,0
2021,"non_wearing_seatbelts","Fixed or mobile camera",5,0,0
2021,"non_wearing_seatbelts","Fixed or mobile camera",5346,0,0
2021,"non_wearing_seatbelts","Police issued",60,0,0
2021,"non_wearing_seatbelts","Police issued",1123,0,0
2021,"non_wearing_seatbelts","Police issued",1129,0,0
2021,"non_wearing_seatbelts","Police issued",1856,0,0
2021,"non_wearing_seatbelts","Police issued",2684,0,0
2021,"non_wearing_seatbelts","Police issued",5051,0,0
2021,"non_wearing_seatbelts","Police issued",6342,0,0
2021,"non_wearing_seatbelts","Police issued",9597,0,0
2021,"speed_fines","Fixed or mobile camera",4244,0,0
2021,"speed_fines","Fixed or mobile camera",31997,0,0
2021,"speed_fines","Fixed or mobile camera",113807,0,0
2021,"speed_fines","Fixed or mobile camera",202693,0,0
2021,"speed_fines","Fixed or mobile camera",734701,0,0
2021,"speed_fines","Fixed or mobile camera",865513,0,0
2021,"speed_fines","Fixed or mobile camera",1231672,0,0
2021,"speed_fines","Fixed or mobile camera",1273155,0,0
2021,"speed_fines","Police issued",6651,0,0
2021,"speed_fines","Police issued",34984,0,0
2021,"speed_fines","Police issued",74843,0,0
2021,"speed_fines","Police issued",113413,0,0
2021,"speed_fines","Police issued",179465,0,0
2022,"mobile_phone_use","Fixed or mobile camera",118152,0,0
2022,"mobile_phone_use","Fixed or mobile camera",194793,0,0
2022,"mobile_phone_use","Police issued",302,0,0
