"YEAR","AGE_GROUP","FINES","ARRESTS","CHARGES"
2023,"17-25",11,9,38
2023,"17-25",12,0,0
2023,"17-25",12,0,0
2023,"17-25",12,0,4
2023,"17-25",12,3,10
2023,"17-25",12,4,9
2023,"17-25",13,0,0
2023,"17-25",13,0,0
2023,"17-25",13,0,29
2023,"17-25",13,0,44
2023,"17-25",13,0,10
2023,"17-25",14,0,0
2023,"17-25",14,0,0
2023,"17-25",14,0,2
2023,"17-25",14,0,40
2023,"17-25",14,0,45
2023,"17-25",14,1,4
2023,"17-25",14,1,10
2023,"17-25",14,1,14
2023,"17-25",15,0,0
2023,"17-25",15,0,2
2023,"17-25",15,0,37
2023,"17-25",15,0,43
2023,"17-25",15,0,60
2023,"17-25",16,0,0
2023,"17-25",16,0,1
2023,"17-25",16,0,4
2023,"17-25",17,0,0
2023,"17-25",17,0,1
2023,"17-25",18,2,12
2023,"17-25",19,0,0
2023,"17-25",20,0,0
2023,"17-25",20,0,1
2023,"17-25",21,0,0
2023,"17-25",21,0,0
2023,"17-25",21,0,1
2023,"17-25",21,0,2
2023,"17-25",22,0,0
2023,"17-25",22,0,0
2023,"17-25",22,0,1
2023,"17-25",23,0,0
2023,"17-25",23,0,0
2023,"17-25",24,0,0
2023,"17-25",24,0,0
2023,"17-25",24,0,1
2023,"17-25",25,0,0
2023,"17-25",26,0,0
2023,"17-25",26,0,2
2023,"17-25",26,0,118
2023,"17-25",26,2,9
2023,"17-25",27,0,0
2023,"17-25",27,0,0
2023,"17-25",27,0,180
2023,"17-25",28,0,0
2023,"17-25",28,0,0
2023,"17-25",28,0,6
2023,"17-25",28,37,335
2023,"17-25",29,0,0
2023,"17-25",29,0,0
2023,"17-25",29,0,1
2023,"17-25",29,30,317
2023,"17-25",30,0,0
2023,"17-25",30,0,166
2023,"17-25",30,0,185
2023,"17-25",30,44,358
2023,"17-25",31,0,0
2023,"17-25",31,0,1
2023,"17-25",31,36,321
2023,"17-25",32,0,0
2023,"17-25",32,0,2
2023,"17-25",33,0,0
2023,"17-25",33,0,0
2023,"17-25",33,0,1
2023,"17-25",33,0,155
2023,"17-25",34,0,0
2023,"17-25",34,0,6
2023,"17-25",34,0,143
2023,"17-25",35,0,0
2023,"17-25",35,0,0
2023,"17-25",35,0,1
2023,"17-25",35,0,2
2023,"17-25",36,0,0
2023,"17-25",36,0,0
2023,"17-25",37,0,0
2023,"17-25",37,0,0
2023,"17-25",37,0,168
2023,"17-25",38,0,0
2023,"17-25",38,0,1
2023,"17-25",39,0,0
2023,"17-25",39,0,0
2023,"17-25",39,0,189
2023,"17-25",40,0,0
2023,"17-25",40,0,129
2023,"17-25",40,1,4
2023,"17-25",40,38,303
2023,"17-25",40,47,370
2023,"17-25",42,0,0
2023,"17-25",42,0,3
2023,"17-25",43,0,0
2023,"17-25",43,0,2
2023,"17-25",43,55,360
2023,"17-25",44,0,0
2023,"17-25",44,0,1
2023,"17-25",45,0,155
2023,"17-25",45,0,5
2023,"17-25",45,40,397
2023,"17-25",46,0,0
2023,"17-25",47,0,0
2023,"17-25",47,0,157
2023,"17-25",47,0,6
2023,"17-25",47,33,356
2023,"17-25",48,0,0
2023,"17-25",48,0,0
2023,"17-25",48,0,1
2023,"17-25",48,30,339
2023,"17-25",49,0,0
2023,"17-25",49,0,1
2023,"17-25",50,0,155
2023,"17-25",50,54,314
2023,"17-25",51,0,0
2023,"17-25",51,2,6
2023,"17-25",51,3,7
2023,"17-25",52,0,0
2023,"17-25",52,40,446
2023,"17-25",53,0,0
2023,"17-25",53,0,0
2023,"17-25",54,0,0
2023,"17-25",55,0,0
2023,"17-25",55,0,0
2023,"17-25",56,0,0
2023,"17-25",56,0,4
2023,"17-25",57,0,0
2023,"17-25",57,0,178
2023,"17-25",57,0,3
2023,"17-25",58,0,0
2023,"17-25",59,0,0
2023,"17-25",59,0,0
2023,"17-25",60,0,0
2023,"17-25",60,0,0
2023,"17-25",61,0,0
2023,"17-25",62,0,0
2023,"17-25",63,0,0
2023,"17-25",63,0,4
2023,"17-25",64,0,0
2023,"17-25",64,0,1
2023,"17-25",67,0,430
2023,"17-25",68,0,0
2023,"17-25",69,0,0
2023,"17-25",69,0,1
2023,"17-25",70,0,0
2023,"17-25",70,0,0
2023,"17-25",70,0,4
2023,"17-25",71,0,3
2023,"17-25",71,0,492
2023,"17-25",72,0,0
2023,"17-25",72,0,0
2023,"17-25",73,0,0
2023,"17-25",73,0,2
2023,"17-25",73,1,3
2023,"17-25",74,0,0
2023,"17-25",75,0,0
2023,"17-25",76,0,0
2023,"17-25",77,0,0
2023,"17-25",78,0,0
2023,"17-25",78,13,51
2023,"17-25",78,20,44
2023,"17-25",79,0,0
2023,"17-25",81,0,0
2023,"17-25",81,19,70
2023,"17-25",82,0,0
2023,"17-25",82,0,479
